,REWS,P,X,Y,YLD,index,id,name,x,y,h,D
52,6.22675054710977,3037.621170785743,289624.82404139003,6042285.769425193,26.609561456083107,52,52,T52,289624.82404139003,6042285.769425193,150.0,240.0
53,8.341035290131732,7418.164977281998,290104.82404139003,6036885.769425193,64.9831252009903,53,53,T53,290104.82404139003,6036885.769425193,150.0,240.0
54,4.4941460195303895,1007.1177802883449,287704.82404139003,6032565.769425193,8.8223517553259,54,54,T54,287704.82404139003,6032565.769425193,150.0,240.0
55,7.326394687538798,5038.137420708105,297064.82404139003,6040245.769425193,44.134083805403,55,55,T55,297064.82404139003,6040245.769425193,150.0,240.0
56,8.913035182081725,8990.02068036058,282184.82404139003,6029805.769425193,78.75258115995868,56,56,T56,282184.82404139003,6029805.769425193,150.0,240.0
57,5.994360392876057,2649.0802020589226,298144.82404139003,6038445.769425193,23.205942570036164,57,57,T57,298144.82404139003,6038445.769425193,150.0,240.0
58,7.3133841033887625,5010.26874945873,299104.82404139003,6039045.769425193,43.88995424525848,58,58,T58,299104.82404139003,6039045.769425193,150.0,240.0
59,7.854982899712363,6170.373371183881,296344.82404139003,6043125.769425193,54.0524707315708,59,59,T59,296344.82404139003,6043125.769425193,150.0,240.0
60,6.817106932036083,4031.1909666167276,286624.82404139003,6037005.769425193,35.31323286756253,60,60,T60,286624.82404139003,6037005.769425193,150.0,240.0
61,4.338254215540762,877.1040157609957,294424.82404139003,6040605.769425193,7.683431178066322,61,61,T61,294424.82404139003,6040605.769425193,150.0,240.0
62,8.629781155587944,8211.63861555567,298624.82404139003,6042885.769425193,71.93395427226767,62,62,T62,298624.82404139003,6042885.769425193,150.0,240.0
63,6.390060385181515,3312.47162826049,289384.82404139003,6041205.769425193,29.017251463561895,63,63,T63,289384.82404139003,6041205.769425193,150.0,240.0
64,5.007011504093127,1437.6031155222665,285064.82404139003,6031845.769425193,12.593403291975056,64,64,T64,285064.82404139003,6031845.769425193,150.0,240.0
65,7.555312743885683,5528.479897403132,295144.82404139003,6045525.769425193,48.42948390125144,65,65,T65,295144.82404139003,6045525.769425193,150.0,240.0
66,10.239453336288637,13219.644633561391,279424.82404139003,6030165.769425193,115.80408698999778,66,66,T66,279424.82404139003,6030165.769425193,150.0,240.0
67,6.470950861495952,3448.6102998976876,288544.82404139003,6035205.769425193,30.209826227103743,67,67,T67,288544.82404139003,6035205.769425193,150.0,240.0
68,5.771093792720267,2375.1320836677673,289864.82404139003,6035805.769425193,20.806157052929642,68,68,T68,289864.82404139003,6035805.769425193,150.0,240.0
69,9.247074222555689,10076.958731811124,284464.82404139003,6030765.769425193,88.27415849066546,69,69,T69,284464.82404139003,6030765.769425193,150.0,240.0
70,7.879130005000693,6222.0964707114845,287944.82404139003,6033765.769425193,54.50556508343261,70,70,T70,287944.82404139003,6033765.769425193,150.0,240.0
71,7.445794599047295,5293.892031159306,280864.82404139003,6032085.769425193,46.37449419295551,71,71,T71,280864.82404139003,6032085.769425193,150.0,240.0
72,6.395044568332186,3320.8600085030694,285664.82404139003,6037725.769425193,29.090733674486884,72,72,T72,285664.82404139003,6037725.769425193,150.0,240.0
73,3.5398926956405683,353.44366521129837,293104.82404139003,6042525.769425193,3.096166507250974,73,73,T73,293104.82404139003,6042525.769425193,150.0,240.0
74,6.678917270340915,3798.6177659837604,296704.82404139003,6041325.769425193,33.27589163001774,74,74,T74,296704.82404139003,6041325.769425193,150.0,240.0
75,5.473506698925892,2009.9927195820692,291064.82404139003,6043725.769425193,17.60753622353893,75,75,T75,291064.82404139003,6043725.769425193,150.0,240.0
