index,id,name,x,y,h,D
52,52,T52,155265.38502879214,6189420.5540700825,150.0,290.0
53,53,T53,153960.38502879214,6192900.5540700825,150.0,290.0
54,54,T54,149755.38502879214,6193045.5540700825,150.0,290.0
55,55,T55,160485.38502879214,6200875.5540700825,150.0,290.0
56,56,T56,158890.38502879214,6203195.5540700825,150.0,290.0
57,57,T57,157440.38502879214,6202905.5540700825,150.0,290.0
58,58,T58,152510.38502879214,6195945.5540700825,150.0,290.0
59,59,T59,150480.38502879214,6198410.5540700825,150.0,290.0
60,60,T60,152365.38502879214,6203340.5540700825,150.0,290.0
61,61,T61,156135.38502879214,6191305.5540700825,150.0,290.0
62,62,T62,152800.38502879214,6201890.5540700825,150.0,290.0
63,63,T63,154540.38502879214,6201165.5540700825,150.0,290.0
64,64,T64,158020.38502879214,6195220.5540700825,150.0,290.0
65,65,T65,159470.38502879214,6201890.5540700825,150.0,290.0
66,66,T66,160485.38502879214,6205805.5540700825,150.0,290.0
67,67,T67,156715.38502879214,6192610.5540700825,150.0,290.0
68,68,T68,154540.38502879214,6187970.5540700825,150.0,290.0
69,69,T69,156280.38502879214,6201745.5540700825,150.0,290.0
70,70,T70,151060.38502879214,6195655.5540700825,150.0,290.0
71,71,T71,155410.38502879214,6206240.5540700825,150.0,290.0
72,72,T72,156570.38502879214,6204065.5540700825,150.0,290.0
73,73,T73,153380.38502879214,6188985.5540700825,150.0,290.0
74,74,T74,150625.38502879214,6209430.5540700825,150.0,290.0
75,75,T75,155700.38502879214,6200295.5540700825,150.0,290.0
76,76,T76,153235.38502879214,6208560.5540700825,150.0,290.0
77,77,T77,152655.38502879214,6204790.5540700825,150.0,290.0
78,78,T78,160340.38502879214,6203050.5540700825,150.0,290.0
79,79,T79,151205.38502879214,6193480.5540700825,150.0,290.0
80,80,T80,157150.38502879214,6200440.5540700825,150.0,290.0
81,81,T81,153960.38502879214,6204065.5540700825,150.0,290.0
82,82,T82,158020.38502879214,6204355.5540700825,150.0,290.0
83,83,T83,161210.38502879214,6202035.5540700825,150.0,290.0
84,84,T84,159470.38502879214,6204645.5540700825,150.0,290.0
85,85,T85,161935.38502879214,6203485.5540700825,150.0,290.0
86,86,T86,154830.38502879214,6190725.5540700825,150.0,290.0
87,87,T87,157295.38502879214,6193915.5540700825,150.0,290.0
88,88,T88,151640.38502879214,6190580.5540700825,150.0,290.0
89,89,T89,151785.38502879214,6197540.5540700825,150.0,290.0
90,90,T90,153525.38502879214,6194205.5540700825,150.0,290.0
