index,id,name,x,y,h,D
30,30,T30,338452.9193262162,6108679.0314481445,150.0,290.0
31,31,T31,333812.9193262162,6106649.0314481445,150.0,290.0
32,32,T32,333812.9193262162,6108969.0314481445,150.0,290.0
33,33,T33,343092.9193262162,6110129.0314481445,150.0,290.0
34,34,T34,336712.9193262162,6106649.0314481445,150.0,290.0
35,35,T35,332072.9193262162,6109549.0314481445,150.0,290.0
36,36,T36,334392.9193262162,6110419.0314481445,150.0,290.0
37,37,T37,334392.9193262162,6104909.0314481445,150.0,290.0
38,38,T38,342802.9193262162,6105199.0314481445,150.0,290.0
39,39,T39,344832.9193262162,6104329.0314481445,150.0,290.0
40,40,T40,339322.9193262162,6114189.0314481445,150.0,290.0
41,41,T41,341062.9193262162,6112159.0314481445,150.0,290.0
42,42,T42,340482.9193262162,6110709.0314481445,150.0,290.0
43,43,T43,337582.9193262162,6115929.0314481445,150.0,290.0
44,44,T44,337582.9193262162,6101139.0314481445,150.0,290.0
45,45,T45,339032.9193262162,6119409.0314481445,150.0,290.0
46,46,T46,335262.9193262162,6106069.0314481445,150.0,290.0
47,47,T47,341642.9193262162,6109549.0314481445,150.0,290.0
48,48,T48,335842.9193262162,6115639.0314481445,150.0,290.0
49,49,T49,340772.9193262162,6108099.0314481445,150.0,290.0
50,50,T50,338162.9193262162,6113029.0314481445,150.0,290.0
51,51,T51,337872.9193262162,6114479.0314481445,150.0,290.0
52,52,T52,333232.9193262162,6117669.0314481445,150.0,290.0
53,53,T53,342222.9193262162,6103749.0314481445,150.0,290.0
54,54,T54,336422.9193262162,6105199.0314481445,150.0,290.0
55,55,T55,341062.9193262162,6101429.0314481445,150.0,290.0
56,56,T56,332652.9193262162,6108099.0314481445,150.0,290.0
57,57,T57,335842.9193262162,6118539.0314481445,150.0,290.0
58,58,T58,338742.9193262162,6099979.0314481445,150.0,290.0
59,59,T59,340482.9193262162,6115349.0314481445,150.0,290.0
60,60,T60,336422.9193262162,6112739.0314481445,150.0,290.0
61,61,T61,340772.9193262162,6118249.0314481445,150.0,290.0
62,62,T62,342222.9193262162,6102299.0314481445,150.0,290.0
63,63,T63,341932.9193262162,6114769.0314481445,150.0,290.0
64,64,T64,338162.9193262162,6106939.0314481445,150.0,290.0
65,65,T65,336422.9193262162,6114189.0314481445,150.0,290.0
66,66,T66,342222.9193262162,6108099.0314481445,150.0,290.0
67,67,T67,334682.9193262162,6117089.0314481445,150.0,290.0
68,68,T68,337002.9193262162,6108099.0314481445,150.0,290.0
69,69,T69,336422.9193262162,6117089.0314481445,150.0,290.0
70,70,T70,343962.9193262162,6107229.0314481445,150.0,290.0
71,71,T71,343672.9193262162,6108679.0314481445,150.0,290.0
72,72,T72,340772.9193262162,6113899.0314481445,150.0,290.0
73,73,T73,334972.9193262162,6113609.0314481445,150.0,290.0
74,74,T74,329752.9193262162,6114189.0314481445,150.0,290.0
75,75,T75,337872.9193262162,6105489.0314481445,150.0,290.0
76,76,T76,332942.9193262162,6110999.0314481445,150.0,290.0
77,77,T77,340192.9193262162,6102879.0314481445,150.0,290.0
78,78,T78,336132.9193262162,6100849.0314481445,150.0,290.0
79,79,T79,339902.9193262162,6109259.0314481445,150.0,290.0
80,80,T80,338742.9193262162,6104039.0314481445,150.0,290.0
81,81,T81,333522.9193262162,6114189.0314481445,150.0,290.0
82,82,T82,340772.9193262162,6104329.0314481445,150.0,290.0
83,83,T83,341062.9193262162,6106069.0314481445,150.0,290.0
84,84,T84,342222.9193262162,6113319.0314481445,150.0,290.0
85,85,T85,329172.9193262162,6115639.0314481445,150.0,290.0
86,86,T86,339612.9193262162,6117089.0314481445,150.0,290.0
87,87,T87,342512.9193262162,6111579.0314481445,150.0,290.0
88,88,T88,335552.9193262162,6104039.0314481445,150.0,290.0
89,89,T89,331202.9193262162,6116799.0314481445,150.0,290.0
90,90,T90,331202.9193262162,6111289.0314481445,150.0,290.0
