index,id,name,x,y,h,D
43,43,T43,312774.5649718259,6033525.095744495,150.0,290.0
44,44,T44,308841.5272502811,6024375.931065618,150.0,290.0
45,45,T45,311904.5649718259,6030335.095744495,150.0,290.0
46,46,T46,294533.27267834556,6033718.895843812,150.0,290.0
47,47,T47,307583.27267834556,6032848.895843812,150.0,290.0
48,48,T48,307391.5272502811,6023215.931065618,150.0,290.0
49,49,T49,298883.27267834556,6036038.895843812,150.0,290.0
50,50,T50,290763.27267834556,6030818.895843812,150.0,290.0
51,51,T51,310164.5649718259,6030335.095744495,150.0,290.0
52,52,T52,299463.27267834556,6034298.895843812,150.0,290.0
53,53,T53,291343.27267834556,6032558.895843812,150.0,290.0
54,54,T54,307293.27267834556,6038068.895843812,150.0,290.0
55,55,T55,304683.27267834556,6038068.895843812,150.0,290.0
56,56,T56,307583.27267834556,6030528.895843812,150.0,290.0
57,57,T57,295693.27267834556,6030528.895843812,150.0,290.0
58,58,T58,307556.20384369045,6016896.835452416,150.0,290.0
59,59,T59,310773.27267834556,6039808.895843812,150.0,290.0
60,60,T60,295983.27267834556,6032558.895843812,150.0,290.0
61,61,T61,311933.27267834556,6038358.895843812,150.0,290.0
62,62,T62,310744.5649718259,6025115.095744495,150.0,290.0
63,63,T63,312484.5649718259,6025405.095744495,150.0,290.0
64,64,T64,284093.27267834556,6025598.895843812,150.0,290.0
65,65,T65,312194.5649718259,6027145.095744495,150.0,290.0
66,66,T66,311798.97624301596,6017234.214193485,150.0,290.0
67,67,T67,309323.27267834556,6033428.895843812,150.0,290.0
68,68,T68,308841.5272502811,6022055.931065618,150.0,290.0
69,69,T69,305843.27267834556,6036618.895843812,150.0,290.0
70,70,T70,300913.27267834556,6038358.895843812,150.0,290.0
71,71,T71,286703.27267834556,6025888.895843812,150.0,290.0
72,72,T72,309903.27267834556,6035458.895843812,150.0,290.0
73,73,T73,309033.27267834556,6031688.895843812,150.0,290.0
74,74,T74,310291.5272502811,6023215.931065618,150.0,290.0
75,75,T75,310193.27267834556,6037488.895843812,150.0,290.0
76,76,T76,309004.5649718259,6028885.095744495,150.0,290.0
77,77,T77,294243.27267834556,6029368.895843812,150.0,290.0
78,78,T78,285543.27267834556,6024438.895843812,150.0,290.0
79,79,T79,306713.27267834556,6042418.895843812,150.0,290.0
80,80,T80,308453.27267834556,6036618.895843812,150.0,290.0
81,81,T81,292793.27267834556,6033718.895843812,150.0,290.0
82,82,T82,310166.20384369045,6020666.835452416,150.0,290.0
83,83,T83,286993.27267834556,6027918.895843812,150.0,290.0
84,84,T84,309033.27267834556,6038938.895843812,150.0,290.0
85,85,T85,283803.27267834556,6028208.895843812,150.0,290.0
86,86,T86,295693.27267834556,6035168.895843812,150.0,290.0
87,87,T87,305263.27267834556,6041258.895843812,150.0,290.0
88,88,T88,311034.5649718259,6031785.095744495,150.0,290.0
89,89,T89,307556.20384369045,6020376.835452416,150.0,290.0
90,90,T90,309613.27267834556,6041258.895843812,150.0,290.0
